time,dailyDistance,dailySaltUsed,seasonalDistance,seasonalSaltUsed
29-12-2021 17:00:14,0,0,293618,18484690
29-12-2021 17:02:57,0,0,293618,18484690
29-12-2021 17:03:58,0,0,293618,18484690
29-12-2021 17:04:58,0,0,293618,18484690
29-12-2021 17:13:42,0,0,293618,18484690
29-12-2021 17:14:42,0,0,293618,18484690
29-12-2021 17:15:42,0,0,293618,18484690
29-12-2021 17:16:42,0,0,293618,18484690
29-12-2021 17:17:42,0,0,293618,18484690
29-12-2021 17:18:42,0,0,293618,18484690
29-12-2021 17:19:43,0,0,293618,18484690
29-12-2021 17:20:43,0,0,293618,18484690
29-12-2021 17:21:43,0,0,293618,18484690
29-12-2021 17:22:43,0,0,293618,18484690
29-12-2021 17:23:43,0,0,293618,18484690
29-12-2021 17:36:26,0,0,293618,18484690
29-12-2021 17:56:47,0,0,293618,18484690
29-12-2021 17:57:48,0,0,293618,18484690
29-12-2021 17:58:48,0,0,293618,18484690
29-12-2021 17:59:48,0,0,293618,18484690
29-12-2021 18:00:48,0,0,293618,18484690
29-12-2021 18:01:48,0,0,293618,18484690
29-12-2021 18:02:49,0,0,293618,18484690
29-12-2021 18:03:49,0,0,293618,18484690
29-12-2021 18:04:49,0,0,293618,18484690
29-12-2021 18:05:49,0,0,293618,18484690
29-12-2021 18:06:49,0,0,293618,18484690
29-12-2021 18:07:49,0,0,293618,18484690
29-12-2021 18:08:49,0,0,293618,18484690
29-12-2021 18:09:49,0,0,293618,18484690
29-12-2021 18:10:50,0,0,293618,18484690
29-12-2021 18:11:50,0,0,293618,18484690
29-12-2021 18:12:50,0,0,293618,18484690
29-12-2021 18:13:50,0,0,293618,18484690
29-12-2021 18:14:50,0,0,293618,18484690
29-12-2021 18:15:50,0,0,293618,18484690
29-12-2021 18:16:50,0,0,293618,18484690
29-12-2021 18:17:50,0,0,293618,18484690
29-12-2021 18:18:51,0,0,293618,18484690
29-12-2021 18:19:51,0,0,293618,18484690
29-12-2021 18:20:51,0,0,293618,18484690
29-12-2021 18:21:51,0,0,293618,18484690
29-12-2021 18:22:51,0,0,293618,18484690
29-12-2021 18:23:51,0,0,293618,18484690
29-12-2021 18:24:51,0,0,293618,18484690
29-12-2021 18:25:51,0,0,293618,18484690
29-12-2021 18:26:52,0,0,293618,18484690
29-12-2021 18:27:52,0,0,293618,18484690
29-12-2021 18:28:52,0,0,293618,18484690
29-12-2021 18:29:52,0,0,293618,18484690
29-12-2021 18:30:52,0,0,293618,18484690
29-12-2021 18:31:52,0,0,293618,18484690
29-12-2021 18:32:52,0,0,293618,18484690
29-12-2021 18:33:52,0,0,293618,18484690
29-12-2021 18:34:53,0,0,293618,18484690
29-12-2021 18:35:53,0,0,293618,18484690
29-12-2021 18:36:53,0,0,293618,18484690
29-12-2021 18:37:53,0,0,293618,18484690
29-12-2021 18:38:53,0,0,293618,18484690
29-12-2021 18:39:53,0,0,293618,18484690
29-12-2021 18:40:53,0,0,293618,18484690
29-12-2021 18:41:53,0,0,293618,18484690
29-12-2021 18:42:54,0,0,293618,18484690
29-12-2021 18:43:54,0,0,293618,18484690
29-12-2021 18:44:54,0,0,293618,18484690
29-12-2021 18:45:54,0,0,293618,18484690
29-12-2021 18:46:54,0,0,293618,18484690
29-12-2021 18:47:54,0,0,293618,18484690
29-12-2021 18:48:54,0,0,293618,18484690
29-12-2021 18:49:54,0,0,293618,18484690
29-12-2021 18:50:55,0,0,293618,18484690
29-12-2021 18:51:55,0,0,293618,18484690
29-12-2021 18:52:55,0,0,293618,18484690
29-12-2021 18:53:55,0,0,293618,18484730
29-12-2021 18:54:55,0,0,293618,18484780
29-12-2021 18:55:55,0,0,293618,18484790
29-12-2021 18:56:55,0,0,293618,18484810
29-12-2021 18:57:55,0,0,293618,18484990
29-12-2021 18:58:56,0,0,293618,18485090
29-12-2021 18:59:56,0,0,293618,18485190
29-12-2021 19:00:56,0,0,293618,18485290
29-12-2021 19:01:56,0,0,293618,18485400
29-12-2021 19:02:56,0,0,293618,18485690
29-12-2021 19:03:56,0,0,293618,18485990
